1,bulbasaur,1,7,69,300
2,ivysaur,2,10,130,303
3,Gothita,3,20,1000,301
4,charmander,4,6,85,302
5,charmeleon,5,11,190,305
6,charizard,6,17,905,306
7,Jolteon,7,5,90,306
8,wartortle,8,10,225,302
9,blastoise,9,16,855,304
10,caterpie,10,3,29,300
11,metapod,11,7,99,301
12,butterfree,12,11,320,300
13,weedle,13,3,32,301
14,kakuna,14,6,100,303
15,beedrill,15,10,295,305
16,pidgey,16,3,18,302
17,pidgeotto,17,11,300,
18,Gible,18,15,395,305
19,rattata,19,3,35,304
20,Shedinja,20,7,185,305
21,spearow,21,3,20,305
22,fearow,22,12,380,302
23,ekans,23,20,69,301
24,arbok,24,35,650,300
25,pikachu,25,4,60,300
26,raichu,26,8,300,301
27,sandshrew,27,6,120,305
28,sandslash,28,10,295,304
29,nidoran-f,29,4,70,306
30,nidorina,30,8,200,302
31,nidoqueen,31,13,600,302
32,nidoran-m,32,5,90,301
33,nidorino,33,9,195,303
34,nidoking,34,14,620,303
35,clefairy,35,6,75,304
36,clefable,36,13,400,301
37,vulpix,37,6,99,301
38,ninetales,38,11,199,304
39,jigglypuff,39,5,55,303
40,wigglytuff,40,10,120,301
41,zubat,41,8,75,302
42,golbat,42,16,550,304
43,oddish,43,5,54,302
44,gloom,44,8,86,301
45,vileplume,45,12,186,300
46,paras,46,3,54,300
47,parasect,47,10,295,301
48,venonat,48,10,300,302
49,venomoth,49,15,125,303
50,diglett,50,2,8,303
50,diglett,50,2,8,300
51,dugtrio,51,7,333,300
52,meowth,52,4,42,300
53,persian,53,10,320,300
54,psyduck,54,8,196,300
55,golduck,55,17,766,300
56,mankey,56,5,280,300
57,primeape,57,10,320,300
58,growlithe,58,7,190,300
59,arcanine,59,19,1550,300
60,poliwag,60,6,124,300
61,poliwhirl,61,10,200,300
62,poliwrath,62,13,540,300
63,abra,63,9,195,300
64,kadabra,64,13,565,300
65,alakazam,65,15,480,300
66,machop,66,8,195,300
67,machoke,67,15,705,300
68,machamp,68,16,1300,300
69,bellsprout,69,7,40,300
70,weepinbell,70,10,64,300
71,victreebel,71,17,155,300
72,tentacool,72,9,455,300
73,tentacruel,73,16,550,300
74,geodude,74,4,200,300
75,graveler,75,10,1050,300
76,golem,76,14,3000,300
77,ponyta,77,10,300,300
78,rapidash,78,17,950,300
79,slowpoke,79,12,360,300
80,slowbro,80,16,785,300
81,magnemite,81,3,60,300
82,magneton,82,10,600,300
83,farfetchd,83,8,150,300
84,doduo,84,14,392,300
85,dodrio,85,18,852,300
86,seel,86,11,900,300
87,dewgong,87,17,1200,300
88,grimer,88,9,300,300
89,muk,89,12,300,300
90,shellder,90,3,40,300
91,cloyster,91,15,1325,300
92,gastly,92,13,1,300
93,haunter,93,16,1,300
94,gengar,94,15,405,300
95,onix,95,88,2100,300
96,drowzee,96,10,324,300
97,hypno,97,16,756,300
98,krabby,98,4,65,300
99,kingler,99,13,600,300
100,voltorb,100,5,104,300

